date,ride_name,SACTMIN,SPOSTMIN
11/1/2021,7_dwarfs_train,21.0,-46.84701492537314
11/10/2015,7_dwarfs_train,25.714285714285715,46.59090909090909
11/10/2016,7_dwarfs_train,17.666666666666668,-99.4140625
11/10/2017,7_dwarfs_train,32.57142857142857,20.19277108433735
11/10/2018,7_dwarfs_train,10.0,12.566037735849056
11/10/2019,7_dwarfs_train,115.0,78.7
11/10/2020,7_dwarfs_train,39.6,2.0388349514563107
11/10/2021,7_dwarfs_train,32.0,-0.05177993527508091
11/11/2015,7_dwarfs_train,23.0,55.77777777777778
11/11/2016,7_dwarfs_train,26.0,75.07751937984496
11/11/2017,7_dwarfs_train,27.666666666666668,84.98843930635839
11/11/2018,7_dwarfs_train,,6.1603053435114505
11/11/2019,7_dwarfs_train,44.833333333333336,67.71653543307086
11/11/2020,7_dwarfs_train,35.2,53.020833333333336
11/11/2021,7_dwarfs_train,26.0,-34.4
11/12/2015,7_dwarfs_train,28.09090909090909,49.083969465648856
11/12/2016,7_dwarfs_train,53.5,106.93548387096774
11/12/2017,7_dwarfs_train,12.2,5.781456953642384
11/12/2018,7_dwarfs_train,28.333333333333332,-37.01315789473684
11/12/2019,7_dwarfs_train,38.333333333333336,-11.140495867768594
11/12/2020,7_dwarfs_train,36.166666666666664,37.83168316831683
11/12/2021,7_dwarfs_train,22.0,67.2027972027972
11/13/2015,7_dwarfs_train,34.142857142857146,50.44776119402985
11/13/2016,7_dwarfs_train,24.5,61.61290322580645
11/13/2017,7_dwarfs_train,47.0,78.24812030075188
11/13/2018,7_dwarfs_train,34.833333333333336,-29.488372093023255
11/13/2019,7_dwarfs_train,29.0,59.36434108527132
11/13/2020,7_dwarfs_train,37.0,60.51724137931034
11/13/2021,7_dwarfs_train,47.0,40.43478260869565
11/14/2015,7_dwarfs_train,58.0,73.87096774193549
11/14/2016,7_dwarfs_train,,77.59615384615384
11/14/2017,7_dwarfs_train,34.666666666666664,25.192052980132452
11/14/2018,7_dwarfs_train,43.5,-4.516556291390729
11/14/2019,7_dwarfs_train,24.0,-39.83064516129032
11/14/2020,7_dwarfs_train,35.375,63.01652892561984
11/14/2021,7_dwarfs_train,31.5,47.176923076923075
11/15/2015,7_dwarfs_train,25.0,61.029411764705884
11/15/2016,7_dwarfs_train,20.09090909090909,53.62204724409449
11/15/2017,7_dwarfs_train,35.0,-39.84285714285714
11/15/2018,7_dwarfs_train,38.0,-41.282051282051285
11/15/2019,7_dwarfs_train,22.0,49.849624060150376
11/15/2020,7_dwarfs_train,37.333333333333336,51.228070175438596
11/15/2021,7_dwarfs_train,35.4,74.5748031496063
11/16/2015,7_dwarfs_train,36.666666666666664,59.80165289256198
11/16/2016,7_dwarfs_train,13.5,70.55555555555556
11/16/2017,7_dwarfs_train,46.5,39.52597402597402
11/16/2018,7_dwarfs_train,31.333333333333332,-21.042424242424243
11/16/2019,7_dwarfs_train,42.5,70.01754385964912
11/16/2020,7_dwarfs_train,60.25,54.46
11/16/2021,7_dwarfs_train,47.0,55.04615384615385
11/17/2015,7_dwarfs_train,24.142857142857142,36.44755244755245
11/17/2016,7_dwarfs_train,27.2,51.76056338028169
11/17/2017,7_dwarfs_train,37.333333333333336,-2.993710691823899
