date,ride_name,sactmin
3/16/2015,it_s_a_small_world,11
3/16/2015,space_mountain,22
3/16/2015,7_dwarfs_train,18
3/16/2015,splash_mountain,22
3/16/2015,pirates_of_caribbean,11
3/16/2015,haunted_mansion,15
3/16/2015,big_thunder_mtn,23
3/17/2015,pirates_of_caribbean,18
3/17/2015,peter_pan_s_flight,26
3/17/2015,big_thunder_mtn,21
3/17/2015,splash_mountain,14
3/17/2015,space_mountain,39
3/17/2015,7_dwarfs_train,53
3/17/2015,it_s_a_small_world,12
3/17/2015,haunted_mansion,18
3/18/2015,space_mountain,5
3/18/2015,peter_pan_s_flight,55
3/18/2015,7_dwarfs_train,27
3/18/2015,pirates_of_caribbean,16
3/18/2015,big_thunder_mtn,13
3/18/2015,haunted_mansion,17
3/18/2015,splash_mountain,23
3/19/2015,peter_pan_s_flight,36
3/19/2015,it_s_a_small_world,8
3/19/2015,7_dwarfs_train,32
3/19/2015,pirates_of_caribbean,21
3/19/2015,big_thunder_mtn,16
3/19/2015,haunted_mansion,17
3/19/2015,space_mountain,19
3/20/2015,big_thunder_mtn,31
3/20/2015,splash_mountain,26
3/20/2015,pirates_of_caribbean,21
3/20/2015,space_mountain,21
3/20/2015,haunted_mansion,7
3/20/2015,7_dwarfs_train,49
3/20/2015,it_s_a_small_world,6
3/21/2015,peter_pan_s_flight,11
3/21/2015,pirates_of_caribbean,11
3/21/2015,haunted_mansion,13
3/21/2015,big_thunder_mtn,10
3/21/2015,space_mountain,22
3/21/2015,7_dwarfs_train,37
3/21/2015,splash_mountain,25
3/21/2015,it_s_a_small_world,9
3/22/2015,pirates_of_caribbean,20
3/22/2015,7_dwarfs_train,23
3/22/2015,space_mountain,25
3/22/2015,splash_mountain,46
3/22/2015,peter_pan_s_flight,24
3/22/2015,it_s_a_small_world,13
3/22/2015,big_thunder_mtn,15
3/22/2015,haunted_mansion,7
3/23/2015,it_s_a_small_world,8
3/23/2015,splash_mountain,17
3/23/2015,peter_pan_s_flight,13
3/23/2015,space_mountain,31
3/23/2015,big_thunder_mtn,15
3/23/2015,haunted_mansion,9
3/23/2015,pirates_of_caribbean,5
3/23/2015,7_dwarfs_train,24
3/24/2015,splash_mountain,8
3/24/2015,haunted_mansion,14
3/24/2015,big_thunder_mtn,27
3/24/2015,7_dwarfs_train,78
3/24/2015,it_s_a_small_world,18
3/24/2015,pirates_of_caribbean,15
3/24/2015,peter_pan_s_flight,53
3/24/2015,space_mountain,39
3/25/2015,haunted_mansion,13
3/25/2015,splash_mountain,19
3/25/2015,space_mountain,9
3/25/2015,7_dwarfs_train,31
3/25/2015,big_thunder_mtn,8
3/25/2015,pirates_of_caribbean,17
3/26/2015,peter_pan_s_flight,16
3/26/2015,splash_mountain,40
3/26/2015,haunted_mansion,19
3/26/2015,7_dwarfs_train,21
3/26/2015,pirates_of_caribbean,30
3/26/2015,big_thunder_mtn,25
3/27/2015,pirates_of_caribbean,19
3/27/2015,big_thunder_mtn,7
3/27/2015,haunted_mansion,13
3/27/2015,space_mountain,51
3/27/2015,it_s_a_small_world,13
3/27/2015,7_dwarfs_train,40
3/27/2015,splash_mountain,25
3/28/2015,peter_pan_s_flight,30
3/28/2015,space_mountain,5
3/28/2015,haunted_mansion,20
3/28/2015,7_dwarfs_train,59
3/28/2015,big_thunder_mtn,12
3/28/2015,pirates_of_caribbean,22
3/28/2015,splash_mountain,13
3/29/2015,space_mountain,4
3/29/2015,pirates_of_caribbean,24
3/29/2015,it_s_a_small_world,8
3/29/2015,big_thunder_mtn,5
3/29/2015,peter_pan_s_flight,28
3/29/2015,7_dwarfs_train,36
3/29/2015,haunted_mansion,9
3/30/2015,big_thunder_mtn,18
3/30/2015,7_dwarfs_train,32
3/30/2015,pirates_of_caribbean,26
3/30/2015,peter_pan_s_flight,26
3/30/2015,space_mountain,14
3/31/2015,big_thunder_mtn,16
3/31/2015,splash_mountain,50
3/31/2015,pirates_of_caribbean,18
3/31/2015,it_s_a_small_world,17
3/31/2015,haunted_mansion,24
3/31/2015,7_dwarfs_train,20
3/31/2015,space_mountain,16
3/31/2015,peter_pan_s_flight,12
4/1/2015,7_dwarfs_train,25
4/1/2015,big_thunder_mtn,16
4/1/2015,peter_pan_s_flight,27
4/1/2015,pirates_of_caribbean,18
4/1/2015,it_s_a_small_world,8
4/1/2015,splash_mountain,27
4/1/2015,haunted_mansion,10
4/2/2015,pirates_of_caribbean,14
4/2/2015,haunted_mansion,15
4/2/2015,it_s_a_small_world,24
4/2/2015,7_dwarfs_train,40
4/2/2015,peter_pan_s_flight,18
4/2/2015,space_mountain,20
4/2/2015,big_thunder_mtn,12
4/2/2015,splash_mountain,20
4/3/2015,space_mountain,37
4/3/2015,big_thunder_mtn,20
4/3/2015,haunted_mansion,10
4/3/2015,splash_mountain,15
4/3/2015,7_dwarfs_train,33
4/3/2015,pirates_of_caribbean,16
4/3/2015,it_s_a_small_world,15
4/4/2015,peter_pan_s_flight,30
4/4/2015,splash_mountain,11
4/4/2015,haunted_mansion,15
4/4/2015,7_dwarfs_train,42
4/4/2015,pirates_of_caribbean,11
4/4/2015,it_s_a_small_world,7
4/4/2015,big_thunder_mtn,4
4/5/2015,big_thunder_mtn,12
4/5/2015,haunted_mansion,23
4/5/2015,splash_mountain,8
4/5/2015,pirates_of_caribbean,13
4/5/2015,peter_pan_s_flight,27
4/5/2015,it_s_a_small_world,4
4/5/2015,space_mountain,22
4/5/2015,7_dwarfs_train,40
4/6/2015,pirates_of_caribbean,21
4/6/2015,7_dwarfs_train,28
4/6/2015,it_s_a_small_world,11
4/6/2015,haunted_mansion,31
4/6/2015,splash_mountain,12
4/6/2015,space_mountain,34
4/6/2015,big_thunder_mtn,13
4/7/2015,big_thunder_mtn,27
4/7/2015,splash_mountain,50
4/7/2015,pirates_of_caribbean,19
4/7/2015,it_s_a_small_world,22
4/7/2015,7_dwarfs_train,28
4/7/2015,space_mountain,28
4/7/2015,peter_pan_s_flight,28
4/7/2015,haunted_mansion,25
4/8/2015,haunted_mansion,19
4/8/2015,splash_mountain,20
4/8/2015,7_dwarfs_train,43
4/8/2015,peter_pan_s_flight,39
4/8/2015,pirates_of_caribbean,19
4/8/2015,big_thunder_mtn,34
4/8/2015,it_s_a_small_world,19
4/8/2015,space_mountain,22
4/9/2015,pirates_of_caribbean,12
4/9/2015,big_thunder_mtn,21
4/9/2015,splash_mountain,21
4/9/2015,haunted_mansion,18
4/9/2015,peter_pan_s_flight,91
4/9/2015,space_mountain,12
4/10/2015,7_dwarfs_train,28
4/10/2015,peter_pan_s_flight,29
4/10/2015,space_mountain,12
4/10/2015,big_thunder_mtn,22
4/10/2015,it_s_a_small_world,8
4/10/2015,splash_mountain,22
4/10/2015,pirates_of_caribbean,14
4/10/2015,haunted_mansion,13
4/11/2015,splash_mountain,37
4/11/2015,pirates_of_caribbean,15
4/11/2015,space_mountain,14
4/11/2015,7_dwarfs_train,39
4/11/2015,big_thunder_mtn,10
4/11/2015,haunted_mansion,15
4/11/2015,it_s_a_small_world,8
4/12/2015,big_thunder_mtn,14
4/12/2015,pirates_of_caribbean,13
4/12/2015,splash_mountain,38
4/12/2015,7_dwarfs_train,30
4/12/2015,haunted_mansion,11
4/12/2015,space_mountain,29
4/12/2015,it_s_a_small_world,12
4/13/2015,peter_pan_s_flight,2
4/13/2015,7_dwarfs_train,9
4/13/2015,it_s_a_small_world,6
4/13/2015,big_thunder_mtn,3
4/13/2015,haunted_mansion,12
4/13/2015,splash_mountain,22
4/13/2015,pirates_of_caribbean,8
4/14/2015,haunted_mansion,10
4/14/2015,big_thunder_mtn,12
4/14/2015,pirates_of_caribbean,15
4/14/2015,splash_mountain,8
4/14/2015,7_dwarfs_train,44
4/15/2015,pirates_of_caribbean,14
4/15/2015,splash_mountain,29
4/15/2015,space_mountain,19
4/15/2015,peter_pan_s_flight,52
4/15/2015,big_thunder_mtn,8
4/15/2015,haunted_mansion,21
4/15/2015,7_dwarfs_train,28
4/16/2015,space_mountain,4
4/16/2015,splash_mountain,25
4/16/2015,haunted_mansion,10
4/16/2015,peter_pan_s_flight,20
4/16/2015,big_thunder_mtn,9
4/16/2015,pirates_of_caribbean,7
4/16/2015,7_dwarfs_train,51
4/17/2015,haunted_mansion,15
4/17/2015,peter_pan_s_flight,46
4/18/2015,it_s_a_small_world,14
4/18/2015,pirates_of_caribbean,23
4/18/2015,haunted_mansion,11
4/18/2015,7_dwarfs_train,24
4/18/2015,splash_mountain,7
4/18/2015,big_thunder_mtn,12
4/18/2015,peter_pan_s_flight,16
4/19/2015,space_mountain,22
4/19/2015,it_s_a_small_world,4
4/19/2015,pirates_of_caribbean,21
4/19/2015,7_dwarfs_train,35
4/19/2015,haunted_mansion,14
4/19/2015,big_thunder_mtn,19
4/19/2015,splash_mountain,21
4/19/2015,peter_pan_s_flight,20
4/20/2015,7_dwarfs_train,28
4/20/2015,splash_mountain,9
4/20/2015,haunted_mansion,16
4/20/2015,pirates_of_caribbean,9
4/20/2015,peter_pan_s_flight,10
